dateid01	hstarts	ur
1986-10-01	1681	7.0000000
1986-11-01	1623	6.9000001
1986-12-01	1833	6.5999999
1987-01-01	1774	6.5999999
1987-02-01	1784	6.5999999
1987-03-01	1726	6.5999999
1987-04-01	1614	6.3000002
1987-05-01	1628	6.3000002
1987-06-01	1594	6.1999998
1987-07-01	1575	6.0999999
1987-08-01	1605	6.0000000
1987-09-01	1695	5.9000001
1987-10-01	1515	6.0000000
1987-11-01	1656	5.8000002
1987-12-01	1400	5.6999998
1988-01-01	1271	5.6999998
1988-02-01	1473	5.6999998
1988-03-01	1532	5.6999998
1988-04-01	1573	5.4000001
1988-05-01	1421	5.5999999
1988-06-01	1478	5.4000001
1988-07-01	1467	5.4000001
1988-08-01	1493	5.5999999
1988-09-01	1492	5.4000001
1988-10-01	1522	5.4000001
1988-11-01	1569	5.3000002
1988-12-01	1563	5.3000002
1989-01-01	1621	5.4000001
1989-02-01	1425	5.1999998
1989-03-01	1422	5.0000000
1989-04-01	1339	5.1999998
1989-05-01	1331	5.1999998
1989-06-01	1397	5.3000002
1989-07-01	1427	5.1999998
1989-08-01	1332	5.1999998
1989-09-01	1279	5.3000002
1989-10-01	1410	5.3000002
1989-11-01	1351	5.4000001
1989-12-01	1251	5.4000001
1990-01-01	1551	5.4000001
1990-02-01	1437	5.3000002
1990-03-01	1289	5.1999998
1990-04-01	1248	5.4000001
1990-05-01	1212	5.4000001
1990-06-01	1177	5.1999998
1990-07-01	1171	5.5000000
1990-08-01	1115	5.6999998
1990-09-01	1110	5.9000001
1990-10-01	1014	5.9000001
1990-11-01	1145	6.1999998
1990-12-01	969	6.3000002
1991-01-01	798	6.4000001
1991-02-01	965	6.5999999
1991-03-01	921	6.8000002
1991-04-01	1001	6.6999998
1991-05-01	996	6.9000001
1991-06-01	1036	6.9000001
1991-07-01	1063	6.8000002
1991-08-01	1049	6.9000001
1991-09-01	1015	6.9000001
1991-10-01	1079	7.0000000
1991-11-01	1103	7.0000000
1991-12-01	1079	7.3000002
1992-01-01	1176	7.3000002
1992-02-01	1250	7.4000001
1992-03-01	1297	7.4000001
1992-04-01	1099	7.4000001
1992-05-01	1214	7.5999999
1992-06-01	1145	7.8000002
1992-07-01	1139	7.6999998
1992-08-01	1226	7.5999999
1992-09-01	1186	7.5999999
1992-10-01	1244	7.3000002
1992-11-01	1214	7.4000001
1992-12-01	1227	7.4000001
1993-01-01	1210	7.3000002
1993-02-01	1210	7.0999999
1993-03-01	1083	7.0000000
1993-04-01	1258	7.0999999
1993-05-01	1260	7.0999999
1993-06-01	1280	7.0000000
1993-07-01	1254	6.9000001
1993-08-01	1300	6.8000002
1993-09-01	1343	6.6999998
1993-10-01	1392	6.8000002
1993-11-01	1376	6.5999999
1993-12-01	1533	6.5000000
1994-01-01	1272	6.5999999
1994-02-01	1337	6.5999999
1994-03-01	1564	6.5000000
1994-04-01	1465	6.4000001
1994-05-01	1526	6.0999999
1994-06-01	1409	6.0999999
1994-07-01	1439	6.0999999
1994-08-01	1450	6.0000000
1994-09-01	1474	5.9000001
1994-10-01	1450	5.8000002
1994-11-01	1511	5.5999999
1994-12-01	1455	5.5000000
1995-01-01	1407	5.5999999
1995-02-01	1316	5.4000001
1995-03-01	1249	5.4000001
1995-04-01	1267	5.8000002
1995-05-01	1314	5.5999999
1995-06-01	1281	5.5999999
1995-07-01	1461	5.6999998
1995-08-01	1416	5.6999998
1995-09-01	1369	5.5999999
1995-10-01	1369	5.5000000
1995-11-01	1452	5.5999999
1995-12-01	1431	5.5999999
1996-01-01	1467	5.5999999
1996-02-01	1491	5.5000000
1996-03-01	1424	5.5000000
1996-04-01	1516	5.5999999
1996-05-01	1504	5.5999999
1996-06-01	1467	5.3000002
1996-07-01	1472	5.5000000
1996-08-01	1557	5.0999999
1996-09-01	1475	5.1999998
1996-10-01	1392	5.1999998
1996-11-01	1489	5.4000001
1996-12-01	1370	5.4000001
1997-01-01	1355	5.3000002
1997-02-01	1486	5.1999998
1997-03-01	1457	5.1999998
1997-04-01	1492	5.0999999
1997-05-01	1442	4.9000001
1997-06-01	1494	5.0000000
1997-07-01	1437	4.9000001
1997-08-01	1390	4.8000002
1997-09-01	1546	4.9000001
1997-10-01	1520	4.6999998
1997-11-01	1510	4.5999999
1997-12-01	1566	4.6999998
1998-01-01	1525	4.5999999
1998-02-01	1584	4.5999999
1998-03-01	1567	4.6999998
1998-04-01	1540	4.3000002
1998-05-01	1536	4.4000001
1998-06-01	1641	4.5000000
1998-07-01	1698	4.5000000
1998-08-01	1614	4.5000000
1998-09-01	1582	4.5999999
1998-10-01	1715	4.5000000
1998-11-01	1660	4.4000001
1998-12-01	1792	4.4000001
1999-01-01	1748	4.3000002
1999-02-01	1670	4.4000001
1999-03-01	1710	4.1999998
1999-04-01	1553	4.3000002
1999-05-01	1611	4.1999998
1999-06-01	1559	4.3000002
1999-07-01	1669	4.3000002
1999-08-01	1648	4.1999998
1999-09-01	1635	4.1999998
1999-10-01	1608	4.0999999
1999-11-01	1648	4.0999999
1999-12-01	1708	4.0000000
2000-01-01	1636	4.0000000
2000-02-01	1737	4.0999999
2000-03-01	1604	4.0000000
2000-04-01	1626	3.8000000
2000-05-01	1575	4.0000000
2000-06-01	1559	4.0000000
2000-07-01	1463	4.0000000
2000-08-01	1541	4.0999999
2000-09-01	1507	3.9000001
2000-10-01	1549	3.9000001
2000-11-01	1551	3.9000001
2000-12-01	1532	3.9000001
2001-01-01	1600	4.1999998
2001-02-01	1625	4.1999998
2001-03-01	1590	4.3000002
2001-04-01	1649	4.4000001
2001-05-01	1605	4.3000002
2001-06-01	1636	4.5000000
2001-07-01	1670	4.5999999
2001-08-01	1567	4.9000001
2001-09-01	1562	5.0000000
2001-10-01	1540	5.3000002
2001-11-01	1602	5.5000000
2001-12-01	1568	5.6999998
2002-01-01	1698	5.6999998
2002-02-01	1829	5.6999998
2002-03-01	1642	5.6999998
2002-04-01	1592	5.9000001
2002-05-01	1764	5.8000002
2002-06-01	1717	5.8000002
2002-07-01	1655	5.8000002
2002-08-01	1633	5.6999998
2002-09-01	1804	5.6999998
2002-10-01	1648	5.6999998
2002-11-01	1753	5.9000001
2002-12-01	1788	6.0000000
2003-01-01	1853	5.8000002
2003-02-01	1629	5.9000001
2003-03-01	1726	5.9000001
2003-04-01	1643	6.0000000
2003-05-01	1751	6.0999999
2003-06-01	1867	6.3000002
2003-07-01	1897	6.1999998
2003-08-01	1833	6.0999999
2003-09-01	1939	6.0999999
2003-10-01	1967	6.0000000
2003-11-01	2083	5.8000002
2003-12-01	2057	5.6999998
2004-01-01	1911	5.6999998
2004-02-01	1846	5.5999999
2004-03-01	1998	5.8000002
2004-04-01	2003	5.5999999
2004-05-01	1981	5.5999999
2004-06-01	1828	5.5999999
2004-07-01	2002	5.5000000
2004-08-01	2024	5.4000001
2004-09-01	1905	5.4000001
